path,before_bytes,after_bytes,width,height,kind,source_png
assets/img/featured-img/img-1-1.webp,2204490,132622,1600,1600,modal,img-1-1.png
assets/img/featured-img/img-1-2.webp,392020,66890,1600,1600,modal,img-1-2.png
assets/img/featured-img/img-1-3.webp,4079576,257352,1600,1600,modal,img-1-3.png
assets/img/featured-img/img-1-4.webp,3734631,158938,1600,1600,modal,img-1-4.png
assets/img/featured-img/img-1.webp,599438,57952,1000,1000,card,img-1.png
assets/img/featured-img/img-10-1.webp,586565,93608,1000,1000,modal,img-10-1.png
assets/img/featured-img/img-10-2.webp,2654321,98592,1600,1600,modal,img-10-2.png
assets/img/featured-img/img-10.webp,586565,93608,1000,1000,card,img-10.png
assets/img/featured-img/img-11-1.webp,640272,88584,1000,1000,modal,img-11-1.png
assets/img/featured-img/img-11-2.webp,369791,35260,1600,1600,modal,img-11-2.png
assets/img/featured-img/img-11-3.webp,459720,52036,1600,1600,modal,img-11-3.png
assets/img/featured-img/img-11-4.webp,5116772,54304,1600,1600,modal,img-11-4.png
assets/img/featured-img/img-11-5.webp,7119313,266004,1600,1600,modal,img-11-5.png
assets/img/featured-img/img-11.webp,640272,88584,1000,1000,card,img-11.png
assets/img/featured-img/img-12-1.webp,10348037,678206,1600,1600,modal,img-12-1.png
assets/img/featured-img/img-12-2.webp,3758766,133938,1600,1600,modal,img-12-2.png
assets/img/featured-img/img-12.webp,2306240,281876,1000,1000,card,img-12.png
assets/img/featured-img/img-13-1.webp,615408,57878,1000,1000,modal,img-13-1.png
assets/img/featured-img/img-13.webp,615408,57878,1000,1000,card,img-13.png
assets/img/featured-img/img-14-1.webp,501473,58328,1000,1000,modal,img-14-1.png
assets/img/featured-img/img-14-2.webp,1140593,117152,712,1600,modal,img-14-2.png
assets/img/featured-img/img-14.webp,501473,58328,1000,1000,card,img-14.png
assets/img/featured-img/img-15-1.webp,1188893,82054,1600,1600,modal,img-15-1.png
assets/img/featured-img/img-15-2.webp,1284127,120990,1600,1600,modal,img-15-2.png
assets/img/featured-img/img-15-3.webp,131369,14614,1600,1600,modal,img-15-3.png
assets/img/featured-img/img-15-4.webp,690127,71002,1600,1600,modal,img-15-4.png
assets/img/featured-img/img-15-5.webp,742744,74448,1600,1600,modal,img-15-5.png
assets/img/featured-img/img-15.webp,346356,44026,1000,1000,card,img-15.png
assets/img/featured-img/img-2-1.webp,584178,48280,1600,1600,modal,img-2-1.png
assets/img/featured-img/img-2-2.webp,243519,23082,1600,1600,modal,img-2-2.png
assets/img/featured-img/img-2-3.webp,2748395,166538,1600,1600,modal,img-2-3.png
assets/img/featured-img/img-2-4.webp,2188133,41530,1600,1600,modal,img-2-4.png
assets/img/featured-img/img-2.webp,212813,30456,1000,1000,card,img-2.png
assets/img/featured-img/img-3-1.webp,4279197,102214,1600,1600,modal,img-3-1.png
assets/img/featured-img/img-3-2.webp,3928500,243646,1600,1600,modal,img-3-2.png
assets/img/featured-img/img-3.webp,1419367,62332,1000,1000,card,img-3.png
assets/img/featured-img/img-4-1.webp,237935,46852,1000,1000,modal,img-4-1.png
assets/img/featured-img/img-4-2.webp,1076232,124240,1600,1600,modal,img-4-2.png
assets/img/featured-img/img-4-3.webp,4396082,77820,1600,1600,modal,img-4-3.png
assets/img/featured-img/img-4.webp,238503,46742,1000,1000,card,img-4.png
assets/img/featured-img/img-5-1.webp,1612006,121324,1600,1600,modal,img-5-1.png
assets/img/featured-img/img-5.webp,455561,66968,1000,1000,card,img-5.png
assets/img/featured-img/img-6-1.webp,657913,51596,1600,1600,modal,img-6-1.png
assets/img/featured-img/img-6-2.webp,880596,60260,1600,1600,modal,img-6-2.png
assets/img/featured-img/img-6.webp,224734,30926,1000,1000,card,img-6.png
assets/img/featured-img/img-7-1.webp,9687226,628504,1600,1600,modal,img-7-1.png
assets/img/featured-img/img-7-2.webp,302224,66064,1600,1600,modal,img-7-2.png
assets/img/featured-img/img-7.webp,2136334,273076,1000,1000,card,img-7.png
assets/img/featured-img/img-8-1.webp,592760,78332,1000,1000,modal,img-8-1.png
assets/img/featured-img/img-8-2.webp,262027,50342,1000,1000,modal,img-8-2.png
assets/img/featured-img/img-8.webp,594251,78886,1000,1000,card,img-8.png
assets/img/featured-img/img-9-1.webp,444179,70838,1000,1000,modal,img-9-1.png
assets/img/featured-img/img-9-2.webp,524420,81520,1000,1000,modal,img-9-2.png
assets/img/featured-img/img-9.webp,443925,69826,1000,1000,card,img-9.png
